,city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
1770379,Oosteeklo,Oosteeklo,Oosteekloo|Oost-Eecloo,51.1914,3.6878,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,162.4,2745.0,2745.0,4,Europe/Brussels,False,1056520683
1770380,Zuienkerke,Zuienkerke,Zuyenkerke,51.25,3.15,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,55.9,2730.0,2730.0,3,Europe/Brussels,False,1056856897
1770381,Rollegem,Rollegem,Rolleghem,50.7667,3.2333,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,321.1,2720.0,2720.0,3,Europe/Brussels,False,1056762587
1770382,Tinlot,Tinlot,,50.4833,5.3667,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,74.6,2709.0,2709.0,4,Europe/Brussels,False,1056692092
1770383,Eversel,Eversel,,51.025,5.2381,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,481.4,2643.0,2643.0,3,Europe/Brussels,False,1056495371
1770384,Rendeux,Rendeux,,50.2333,5.5,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,37.5,2582.0,2582.0,3,Europe/Brussels,False,1056207697
1770385,Trois Ponts,Trois Ponts,,50.3667,5.8667,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,37.3,2570.0,2570.0,3,Europe/Brussels,False,1056958381
1770386,Dudzele,Dudzele,Dudzeele,51.2753,3.2278,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,117.0,2565.0,2565.0,3,Europe/Brussels,False,1056504675
1770387,Velm,Velm,,50.7744,5.135,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,248.3,2562.0,2562.0,3,Europe/Brussels,True,1056582234
1770388,Sainte-Ode,Sainte-Ode,Saint-Ode,50.0333,5.5333,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,31.0,2557.0,2557.0,4,Europe/Brussels,False,1056895403
1770389,Sint-Maria-Lierde,Sint-Maria-Lierde,Lierde-Sainte-Marie,50.8211,3.8464,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,284.6,2553.0,2553.0,3,Europe/Brussels,False,1056701984
1770390,Sint-Maria-Oudenhove,Sint-Maria-Oudenhove,Audenhove-Sainte-Marie,50.833,3.796,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,474.6,2501.0,2501.0,3,Europe/Brussels,False,1056698202
1770391,Deurle,Deurle,,51.0,3.6,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,454.7,2492.0,2492.0,3,Europe/Brussels,False,1056479469
